keyword			added on	removed on
--------------------	---------	----------
corona			3/20/2020		
#corona			3/20/2020		
coronavirus		3/20/2020		
#coronavirus		3/20/2020		
covid			4/18/2020		
#covid			4/18/2020		
covid19			4/18/2020		
#covid19		4/18/2020		
covid-19		4/18/2020		
#covid-19		4/18/2020		
sarscov2		4/18/2020		
#sarscov2		4/18/2020		
sars cov2		4/18/2020		
sars cov 2		4/18/2020		
covid_19		4/18/2020		
#covid_19		4/18/2020		
#ncov			4/18/2020		
ncov			4/18/2020		
#ncov2019		4/18/2020		
ncov2019		4/18/2020		
2019-ncov		4/18/2020		
#2019-ncov		4/18/2020		
pandemic		5/16/2020		
#pandemic		5/16/2020		
#2019ncov		5/16/2020		
2019ncov		5/16/2020		
quarantine		5/16/2020		
#quarantine		5/16/2020		
flatten the curve	5/16/2020		
flattening the curve	5/16/2020		
#flatteningthecurve	5/16/2020		
#flattenthecurve	5/16/2020		
hand sanitizer		5/16/2020		
#handsanitizer		5/16/2020		
#lockdown		5/16/2020		
lockdown		5/16/2020		
social distancing	5/16/2020		
#socialdistancing	5/16/2020		
work from home		5/16/2020		
#workfromhome		5/16/2020		
working from home	5/16/2020		
#workingfromhome	5/16/2020		
ppe			5/16/2020		
n95			5/16/2020		
#ppe			5/16/2020		
#n95			5/16/2020		
#covidiots		6/22/2020		
covidiots		6/22/2020		
herd immunity		6/22/2020		
#herdimmunity		6/22/2020		
pneumonia		6/22/2020		
#pneumonia		6/22/2020		
chinese virus		6/22/2020		
#chinesevirus		6/22/2020		
wuhan virus		6/22/2020		
#wuhanvirus		6/22/2020		
kung flu		6/22/2020		
#kungflu		6/22/2020		
wearamask		8/5/2020		
#wearamask		8/5/2020		
wear a mask		8/5/2020		
vaccine			8/5/2020		
vaccines		8/5/2020		
#vaccine		8/5/2020		
#vaccines		8/5/2020		
corona vaccine		8/5/2020		
corona vaccines		8/5/2020		
#coronavaccine		8/5/2020		
#coronavaccines		8/5/2020		
face shield		8/11/2020		
#faceshield		8/11/2020		
face shields		8/11/2020		
#faceshields		8/11/2020		
health worker		8/11/2020		
#health worker		8/11/2020		
health workers		8/11/2020		
#healthworkers		8/11/2020		
#stayhomestaysafe	8/11/2020		
#coronaupdate		8/11/2020		
#frontlineheroes	8/11/2020		
#coronawarriors		8/11/2020		
#homeschool		8/11/2020		
#homeschooling		8/11/2020		
#hometasking		8/11/2020		
#masks4all		8/11/2020		
#wfh			8/11/2020		
wash ur hands		8/11/2020		
wash your hands		8/11/2020		
#washurhands		8/11/2020		
#washyourhands		8/11/2020		
#stayathome		8/11/2020		
#stayhome		8/11/2020		
#selfisolating		8/11/2020		
self isolating		8/11/2020		
bars closed		8/11/2020	9/16/2020
resturant closed	8/11/2020	9/16/2020

########## for tweets added from before March 20, 2020 ##########
corona
#corona
coronavirus
#coronavirus
covid
#covid
covid19
#covid19
quarantine
#quarantine
pneumonia
#pneumonia
wuhan
virus
flu
cough
fever
lungs
